[2025-02-12 18:06:29,705] 18 INFO Initiate the data ingestion
[2025-02-12 18:06:34,831] 62 INFO Performed train test split on the dataframe
[2025-02-12 18:06:34,831] 64 INFO Exited split_data_as_train_test method of Data_Ingestion class
[2025-02-12 18:06:34,846] 72 INFO Exporting train and test file path.
[2025-02-12 18:06:34,941] 81 INFO Exported train and test file path.
[2025-02-12 18:06:34,941] 20 INFO Data Initiation Completed
[2025-02-12 18:06:34,982] 25 INFO Initiate the data Validation
[2025-02-12 18:06:35,053] 32 INFO Required number of columns:2
[2025-02-12 18:06:35,053] 33 INFO Data frame has columns:31
[2025-02-12 18:06:35,053] 32 INFO Required number of columns:2
[2025-02-12 18:06:35,053] 33 INFO Data frame has columns:31
[2025-02-12 18:06:35,416] 27 INFO data Validation Completed
